    34 18250
   -0.207081E+00   -0.139788E+02   -0.456820E+01   -0.756323E+00
   -0.209214E+00   -0.139788E+02   -0.456820E+01   -0.189405E+00
   -0.209636E+00   -0.139788E+02   -0.456820E+01    0.377512E+00
   -0.208295E+00   -0.139788E+02   -0.456820E+01    0.944430E+00
   -0.205333E+00   -0.139788E+02   -0.456820E+01    0.151135E+01
   -0.201048E+00   -0.139788E+02   -0.456820E+01    0.207827E+01
   -0.195811E+00   -0.139788E+02   -0.456820E+01    0.264518E+01
   -0.198646E+00   -0.139788E+02   -0.400128E+01   -0.245708E+01
   -0.204654E+00   -0.139788E+02   -0.400128E+01   -0.189016E+01
   -0.209909E+00   -0.139788E+02   -0.400128E+01   -0.132324E+01
   -0.213966E+00   -0.139788E+02   -0.400128E+01   -0.756323E+00
   -0.216404E+00   -0.139788E+02   -0.400128E+01   -0.189405E+00
   -0.216938E+00   -0.139788E+02   -0.400128E+01    0.377512E+00
   -0.215497E+00   -0.139788E+02   -0.400128E+01    0.944430E+00
   -0.212249E+00   -0.139788E+02   -0.400128E+01    0.151135E+01
   -0.207547E+00   -0.139788E+02   -0.400128E+01    0.207827E+01
   -0.201825E+00   -0.139788E+02   -0.400128E+01    0.264518E+01
   -0.202985E+00   -0.139788E+02   -0.343436E+01   -0.245708E+01
   -0.209350E+00   -0.139788E+02   -0.343436E+01   -0.189016E+01
   -0.214973E+00   -0.139788E+02   -0.343436E+01   -0.132324E+01
   -0.219368E+00   -0.139788E+02   -0.343436E+01   -0.756323E+00
   -0.222064E+00   -0.139788E+02   -0.343436E+01   -0.189405E+00
   -0.222730E+00   -0.139788E+02   -0.343436E+01    0.377512E+00
   -0.221277E+00   -0.139788E+02   -0.343436E+01    0.944430E+00
   -0.217886E+00   -0.139788E+02   -0.343436E+01    0.151135E+01
   -0.212942E+00   -0.139788E+02   -0.343436E+01    0.207827E+01
   -0.206919E+00   -0.139788E+02   -0.343436E+01    0.264518E+01
   -0.200260E+00   -0.139788E+02   -0.343436E+01    0.321210E+01
   -0.206042E+00   -0.139788E+02   -0.286745E+01   -0.245708E+01
   -0.212523E+00   -0.139788E+02   -0.286745E+01   -0.189016E+01
   -0.218289E+00   -0.139788E+02   -0.286745E+01   -0.132324E+01
   -0.222852E+00   -0.139788E+02   -0.286745E+01   -0.756323E+00
   -0.225723E+00   -0.139788E+02   -0.286745E+01   -0.189405E+00
   -0.226546E+00   -0.139788E+02   -0.286745E+01    0.377512E+00
   -0.225214E+00   -0.139788E+02   -0.286745E+01    0.944430E+00
   -0.221895E+00   -0.139788E+02   -0.286745E+01    0.151135E+01
   -0.216969E+00   -0.139788E+02   -0.286745E+01    0.207827E+01
   -0.210906E+00   -0.139788E+02   -0.286745E+01    0.264518E+01
   -0.204147E+00   -0.139788E+02   -0.286745E+01    0.321210E+01
   -0.207745E+00   -0.139788E+02   -0.230053E+01   -0.245708E+01
   -0.214078E+00   -0.139788E+02   -0.230053E+01   -0.189016E+01
   -0.219733E+00   -0.139788E+02   -0.230053E+01   -0.132324E+01
   -0.224268E+00   -0.139788E+02   -0.230053E+01   -0.756323E+00
   -0.227220E+00   -0.139788E+02   -0.230053E+01   -0.189405E+00
   -0.228238E+00   -0.139788E+02   -0.230053E+01    0.377512E+00
   -0.227189E+00   -0.139788E+02   -0.230053E+01    0.944430E+00
   -0.224197E+00   -0.139788E+02   -0.230053E+01    0.151135E+01
   -0.219585E+00   -0.139788E+02   -0.230053E+01    0.207827E+01
   -0.213767E+00   -0.139788E+02   -0.230053E+01    0.264518E+01
   -0.207148E+00   -0.139788E+02   -0.230053E+01    0.321210E+01
   -0.208204E+00   -0.139788E+02   -0.173361E+01   -0.245708E+01
   -0.214170E+00   -0.139788E+02   -0.173361E+01   -0.189016E+01
   -0.219507E+00   -0.139788E+02   -0.173361E+01   -0.132324E+01
   -0.223855E+00   -0.139788E+02   -0.173361E+01   -0.756323E+00
   -0.226822E+00   -0.139788E+02   -0.173361E+01   -0.189405E+00
   -0.228084E+00   -0.139788E+02   -0.173361E+01    0.377512E+00
   -0.227479E+00   -0.139788E+02   -0.173361E+01    0.944430E+00
   -0.225048E+00   -0.139788E+02   -0.173361E+01    0.151135E+01
   -0.221004E+00   -0.139788E+02   -0.173361E+01    0.207827E+01
   -0.215663E+00   -0.139788E+02   -0.173361E+01    0.264518E+01
   -0.213159E+00   -0.139788E+02   -0.116669E+01   -0.189016E+01
   -0.218075E+00   -0.139788E+02   -0.116669E+01   -0.132324E+01
   -0.222170E+00   -0.139788E+02   -0.116669E+01   -0.756323E+00
   -0.225143E+00   -0.139788E+02   -0.116669E+01   -0.189405E+00
   -0.226710E+00   -0.139788E+02   -0.116669E+01    0.377512E+00
   -0.226666E+00   -0.139788E+02   -0.116669E+01    0.944430E+00
   -0.224939E+00   -0.139788E+02   -0.116669E+01    0.151135E+01
   -0.221604E+00   -0.139788E+02   -0.116669E+01    0.207827E+01
   -0.216856E+00   -0.139788E+02   -0.116669E+01    0.264518E+01
   -0.211461E+00   -0.139788E+02   -0.599774E+00   -0.189016E+01
   -0.215983E+00   -0.139788E+02   -0.599774E+00   -0.132324E+01
   -0.219862E+00   -0.139788E+02   -0.599774E+00   -0.756323E+00
   -0.222889E+00   -0.139788E+02   -0.599774E+00   -0.189405E+00
   -0.224808E+00   -0.139788E+02   -0.599774E+00    0.377512E+00
   -0.225363E+00   -0.139788E+02   -0.599774E+00    0.944430E+00
   -0.224361E+00   -0.139788E+02   -0.599774E+00    0.151135E+01
   -0.221732E+00   -0.139788E+02   -0.599774E+00    0.207827E+01
   -0.217554E+00   -0.139788E+02   -0.599774E+00    0.264518E+01
   -0.212052E+00   -0.139788E+02   -0.599774E+00    0.321210E+01
   -0.217406E+00   -0.139788E+02   -0.328567E-01   -0.756323E+00
   -0.220551E+00   -0.139788E+02   -0.328567E-01   -0.189405E+00
   -0.222832E+00   -0.139788E+02   -0.328567E-01    0.377512E+00
   -0.223936E+00   -0.139788E+02   -0.328567E-01    0.944430E+00
   -0.223559E+00   -0.139788E+02   -0.328567E-01    0.151135E+01
   -0.221511E+00   -0.139788E+02   -0.328567E-01    0.207827E+01
   -0.217787E+00   -0.139788E+02   -0.328567E-01    0.264518E+01
   -0.212576E+00   -0.139788E+02   -0.328567E-01    0.321210E+01
   -0.206210E+00   -0.139788E+02   -0.328567E-01    0.377902E+01
   -0.218248E+00   -0.139788E+02    0.534061E+00   -0.189405E+00
   -0.220838E+00   -0.139788E+02    0.534061E+00    0.377512E+00
   -0.222361E+00   -0.139788E+02    0.534061E+00    0.944430E+00
   -0.222433E+00   -0.139788E+02    0.534061E+00    0.151135E+01
   -0.220787E+00   -0.139788E+02    0.534061E+00    0.207827E+01
   -0.217369E+00   -0.139788E+02    0.534061E+00    0.264518E+01
   -0.212354E+00   -0.139788E+02    0.534061E+00    0.321210E+01
   -0.206094E+00   -0.139788E+02    0.534061E+00    0.377902E+01
   -0.215776E+00   -0.139788E+02    0.110098E+01   -0.189405E+00
   -0.218559E+00   -0.139788E+02    0.110098E+01    0.377512E+00
   -0.220321E+00   -0.139788E+02    0.110098E+01    0.944430E+00
   -0.220643E+00   -0.139788E+02    0.110098E+01    0.151135E+01
   -0.219225E+00   -0.139788E+02    0.110098E+01    0.207827E+01
   -0.215997E+00   -0.139788E+02    0.110098E+01    0.264518E+01
   -0.211134E+00   -0.139788E+02    0.110098E+01    0.321210E+01
   -0.204993E+00   -0.139788E+02    0.110098E+01    0.377902E+01
   -0.198002E+00   -0.139788E+02    0.110098E+01    0.434594E+01
   -0.212796E+00   -0.139788E+02    0.166790E+01   -0.189405E+00
   -0.215616E+00   -0.139788E+02    0.166790E+01    0.377512E+00
   -0.217430E+00   -0.139788E+02    0.166790E+01    0.944430E+00
   -0.217824E+00   -0.139788E+02    0.166790E+01    0.151135E+01
   -0.216507E+00   -0.139788E+02    0.166790E+01    0.207827E+01
   -0.213412E+00   -0.139788E+02    0.166790E+01    0.264518E+01
   -0.208715E+00   -0.139788E+02    0.166790E+01    0.321210E+01
   -0.202765E+00   -0.139788E+02    0.166790E+01    0.377902E+01
   -0.195977E+00   -0.139788E+02    0.166790E+01    0.434594E+01
   -0.209034E+00   -0.139788E+02    0.223481E+01   -0.189405E+00
   -0.211733E+00   -0.139788E+02    0.223481E+01    0.377512E+00
   -0.213440E+00   -0.139788E+02    0.223481E+01    0.944430E+00
   -0.213778E+00   -0.139788E+02    0.223481E+01    0.151135E+01
   -0.212490E+00   -0.139788E+02    0.223481E+01    0.207827E+01
   -0.209525E+00   -0.139788E+02    0.223481E+01    0.264518E+01
   -0.205052E+00   -0.139788E+02    0.223481E+01    0.321210E+01
   -0.199391E+00   -0.139788E+02    0.223481E+01    0.377902E+01
   -0.206843E+00   -0.139788E+02    0.280173E+01    0.377512E+00
   -0.208335E+00   -0.139788E+02    0.280173E+01    0.944430E+00
   -0.208544E+00   -0.139788E+02    0.280173E+01    0.151135E+01
   -0.207261E+00   -0.139788E+02    0.280173E+01    0.207827E+01
   -0.204451E+00   -0.139788E+02    0.280173E+01    0.264518E+01
   -0.200267E+00   -0.139788E+02    0.280173E+01    0.321210E+01
   -0.194989E+00   -0.139788E+02    0.280173E+01    0.377902E+01
   -0.201069E+00   -0.139788E+02    0.336865E+01    0.377512E+00
   -0.202295E+00   -0.139788E+02    0.336865E+01    0.944430E+00
   -0.202351E+00   -0.139788E+02    0.336865E+01    0.151135E+01
   -0.201075E+00   -0.139788E+02    0.336865E+01    0.207827E+01
   -0.198450E+00   -0.139788E+02    0.336865E+01    0.264518E+01
   -0.194604E+00   -0.139788E+02    0.336865E+01    0.321210E+01
   -0.189791E+00   -0.134119E+02   -0.626895E+01   -0.132324E+01
   -0.192525E+00   -0.134119E+02   -0.626895E+01   -0.756323E+00
   -0.194079E+00   -0.134119E+02   -0.626895E+01   -0.189405E+00
   -0.194311E+00   -0.134119E+02   -0.626895E+01    0.377512E+00
   -0.193195E+00   -0.134119E+02   -0.626895E+01    0.944430E+00
   -0.190825E+00   -0.134119E+02   -0.626895E+01    0.151135E+01
   -0.194897E+00   -0.134119E+02   -0.570203E+01   -0.189016E+01
